,word1,word2,relation,label,text
75,machine learning,deep learning,rhyper,-1,"Meanwhile, interests for machine learning such as artificial intelligence and deep learning have grown significantly in recent years."
76,machine learning,artificial intelligence,rhyper,-1,"Meanwhile, interests for machine learning such as artificial intelligence and deep learning have grown significantly in recent years."
77,Deep learning,artificial intelligence,hyper,1,"Meanwhile, unlike the conventional machine learning, deep learning technologies have been being developed recently. Deep learning is an artificial intelligence technology that enables a computer to learn on its own like a human on the basis of Artificial Neural Networks (ANN). That is, deep learning means that a computer discovers and determines properties on its own."
78,Deep learning,artificial intelligence,hyper,1,Deep learning is an artificial intelligence technology that trains a computer to learn human thinking based on Artificial Neural Networks (ANN) for constructing artificial intelligence so that the computer is capable of learning on its own without a user's instruction.
79,deep learning,Convolutional Neural Network,rhyper,-1,"For example, the object recognition module 144 may include a Depp Neural Network (DNN) trained through deep learning, such as Convolutional Neural Network (CNN), Recurrent Neural Network (RNN), Deep Belief Network (DBN), etc."
80,home appliance,mobile robot,rhyper,-1,"Meanwhile, the server 70 may be a server operated by a manufacturer of a home appliance such as the mobile robot 100, 100a, or 100b, a server operated by a service provider, or a kind of Cloud server."
81,home appliance,mobile robot,rhyper,-1,"The communication unit 820 may receive a diversity of data, such as state information, operation information, controlled information, etc., from a mobile terminal, a home appliance such as the mobile robot 100, 100a, or 100b, etc., a gate way, or the like."
82,home appliance,mobile robot,rhyper,-1,"In addition, the communication unit 820 may transmit data responsive to the received diversity of data to a mobile terminal, a home appliance such as the mobile robot 100, 100a, 100b, etc., a gate way or the like."
83,home appliance,mobile robot,rhyper,-1,"The learning module 840 may serve as a learning machine of a home appliance such as the mobile robot 100, 100a, or 100b, etc."
84,home appliance,mobile robot,rhyper,-1,"Meanwhile, according to a setting, the controller 810 may perform control to update an artificial network architecture of a home appliance such as the mobile robot 100, 100a, or 100b, into a learned artificial neural network architecture."
85,machine learning,deep learning,rhyper,-1,"Meanwhile, interests for machine learning such as artificial intelligence and deep learning have grown significantly in recent years."
86,machine learning,artificial intelligence,rhyper,-1,"Meanwhile, interests for machine learning such as artificial intelligence and deep learning have grown significantly in recent years."
87,Deep learning,artificial intelligence,hyper,1,"Meanwhile, unlike the conventional machine learning, deep learning technologies have been being developed recently. Deep learning is an artificial intelligence technology that enables a computer to learn on its own like a human on the basis of Artificial Neural Networks (ANN). That is, deep learning means that a computer discovers and determines properties on its own."
88,Deep learning,artificial intelligence,hyper,1,Deep learning is an artificial intelligence technology that trains a computer to learn human thinking based on Artificial Neural Networks (ANN) for constructing artificial intelligence so that the computer is capable of learning on its own without a user's instruction.
89,deep learning,Convolutional Neural Network,rhyper,-1,"For example, the object recognition module 144 may include a Depp Neural Network (DNN) trained through deep learning, such as Convolutional Neural Network (CNN), Recurrent Neural Network (RNN), Deep Belief Network (DBN), etc."
90,home appliance,mobile robot,rhyper,-1,"Meanwhile, the server 70 may be a server operated by a manufacturer of a home appliance such as the mobile robot 100, 100a, or 100b, a server operated by a service provider, or a kind of Cloud server."
91,home appliance,mobile robot,rhyper,-1,"The communication unit 820 may receive a diversity of data, such as state information, operation information, controlled information, etc., from a mobile terminal, a home appliance such as the mobile robot 100, 100a, or 100b, etc., a gate way, or the like."
92,home appliance,mobile robot,rhyper,-1,"In addition, the communication unit 820 may transmit data responsive to the received diversity of data to a mobile terminal, a home appliance such as the mobile robot 100, 100a, 100b, etc., a gate way or the like."
93,home appliance,mobile robot,rhyper,-1,"The learning module 840 may serve as a learning machine of a home appliance such as the mobile robot 100, 100a, or 100b, etc."
94,home appliance,mobile robot,rhyper,-1,"Meanwhile, according to a setting, the controller 810 may perform control to update an artificial network architecture of a home appliance such as the mobile robot 100, 100a, or 100b, into a learned artificial neural network architecture."
95,machine learning,deep learning,rhyper,-1,"Meanwhile, interests for machine learning such as artificial intelligence and deep learning have grown significantly in recent years."
96,machine learning,artificial intelligence,rhyper,-1,"Meanwhile, interests for machine learning such as artificial intelligence and deep learning have grown significantly in recent years."
97,Deep learning,artificial intelligence,hyper,1,"Meanwhile, unlike the conventional machine learning, deep learning technologies have been being developed recently. Deep learning is an artificial intelligence technology that enables a computer to learn on its own like a human on the basis of Artificial Neural Networks (ANN). That is, deep learning means that a computer discovers and determines properties on its own."
98,Deep learning,artificial intelligence,hyper,1,Deep learning is an artificial intelligence technology that trains a computer to learn human thinking based on Artificial Neural Networks (ANN) for constructing artificial intelligence so that the computer is capable of learning on its own without a user's instruction.
99,deep learning,Convolutional Neural Network,rhyper,-1,"For example, the object recognition module 144 may include a Depp Neural Network (DNN) trained through deep learning, such as Convolutional Neural Network (CNN), Recurrent Neural Network (RNN), Deep Belief Network (DBN), etc."
100,home appliance,mobile robot,rhyper,-1,"Meanwhile, the server 70 may be a server operated by a manufacturer of a home appliance such as the mobile robot 100, 100a, or 100b, a server operated by a service provider, or a kind of Cloud server."
101,home appliance,mobile robot,rhyper,-1,"The communication unit 820 may receive a diversity of data, such as state information, operation information, controlled information, etc., from a mobile terminal, a home appliance such as the mobile robot 100, 100a, or 100b, etc., a gate way, or the like."
102,home appliance,mobile robot,rhyper,-1,"In addition, the communication unit 820 may transmit data responsive to the received diversity of data to a mobile terminal, a home appliance such as the mobile robot 100, 100a, 100b, etc., a gate way or the like."
103,home appliance,mobile robot,rhyper,-1,"The learning module 840 may serve as a learning machine of a home appliance such as the mobile robot 100, 100a, or 100b, etc."
104,home appliance,mobile robot,rhyper,-1,"Meanwhile, according to a setting, the controller 810 may perform control to update an artificial network architecture of a home appliance such as the mobile robot 100, 100a, or 100b, into a learned artificial neural network architecture."
105,artificial light,fluorescent light,rhyper,-1,"The lighting apparatus 303 includes an LED (Light Emitting Diode) or the like as a light source and applies light to the measured object 1, such as a plant. Note that the light source in the lighting apparatus 303 is not limited to the LED, and for example, artificial light, such as fluorescent light, can be used."
106,environmental conditions,carbon dioxide,rhyper,-1,"That is, it is known that the photosynthesis of a plant is affected by the number of photons that are particles of light, instead of the energy of light. However, the number of photons that allows the plant to effectively utilize the light is significantly affected by environmental conditions, such as carbon dioxide concentration (CO2 concentration), temperature, humidity, and nutrients, as well as the type and the state of the plant. Therefore, the PPFD value that can be effectively utilized by the plant is predicted from the environmental conditions as well as the type and the state of the plant to calculate and display the effective PPFD value in the present technique. In addition, the effective PPFD value is further utilized here to improve the environment in real time to increase the growth of the plant."
107,environmental conditions,carbon dioxide,rhyper,-1,"That is, it is known that the photosynthesis of a plant is affected by the number of photons that are particles of light, instead of the energy of light. However, the number of photons that allows the plant to effectively utilize the light is significantly affected by environmental conditions, such as carbon dioxide concentration (CO2 concentration), temperature, humidity, and nutrients, as well as the type and the state of the plant. Therefore, the PPFD value that can be effectively utilized by the plant is predicted from the environmental conditions as well as the type and the state of the plant to calculate and display the effective PPFD value in the present technique. In addition, the effective PPFD value is further utilized here to improve the environment by using the prediction information to increase the growth of the plant."
108,neural network,convolutional neural network,hyper,1,"6. The method of any preceding claim, wherein the neural network is a convolutional neural network that is trained using the updated knowledge based engine."
109,neural network,convolutional neural network,hyper,1,"13. The image processing device of any of claims 8 - 12, wherein the neural network is a convolutional neural network that is trained using the updated knowledge based engine."
110,machine learning method,logistic regression,rhyper,-1,"At present, some personalized recommendation models on the market are realized based on a machine learning method such as a logistic regression (LR) or a RANKLR. A machine learning model can be trained through user's previous behaviors (such as clicking, browsing, purchasing, commenting and the like) in a system. A trained model can be configured to estimate a relevance score or a click-through-rate (CTR) between the user and an item to be recommended. Thereafter, personalized recommendation for the user with selected items can be achieved according to the relevance score or the CTR."
111,machine learning method,logistic regression,rhyper,-1,"The target model refers to a model, in the information recommendation system, configured to execute a recommendation task for items to be recommended. The target model can be implemented according to a machine learning method such as a logistic regression (LR) or a RANKLR. Features of the target model include features of attribute of the items to be recommended, features of a target user himself, features of a scenario in which the target user is located, and the like."
112,Volatile memory,storage medium,hyper,1,"In one example, memory in the pooled memory subsystem can be volatile memory, nonvolatile memory (NVM), or a combination thereof. Volatile memory can include any type of volatile memory, and is not considered to be limiting. Volatile memory is a storage medium that requires power to maintain the state of data stored by the medium. Non-limiting examples of volatile memory can include random access memory (RAM), such as static random-access memory (SRAM), dynamic random-access memory (DRAM), synchronous dynamic random-access memory (SDRAM), and the like, including combinations thereof. SDRAM memory can include any variant thereof, such as single data rate SDRAM (SDR DRAM), double data rate (DDR) SDRAM, including DDR, DDR2, DDR3, DDR4, DDR5, and so on, described collectively as DDRx, and low power DDR (LPDDR) SDRAM, including LPDDR, LPDDR2, LPDDR3, LPDDR4, and so on, described collectively as LPDDRx. In some examples, DRAM complies with a standard promulgated by JEDEC, such as JESD79F for DDR SDRAM, JESD79-2F for DDR2 SDRAM, JESD79-3F for DDR3 SDRAM, JESD79-4A for DDR4 SDRAM, JESD209B for LPDDR SDRAM, JESD209-2F for LPDDR2 SDRAM, JESD209-3C for LPDDR3 SDRAM, and JESD209-4A for LPDDR4 SDRAM (these standards are available at www.jedec.org; DDR5 SDRAM is forthcoming). Such standards (and similar standards) may be referred to as DDR-based or LPDDR-based standards, and communication interfaces that implement such standards may be referred to as DDR-based or LPDDR-based interfaces. In one specific example, the system memory can be DRAM. In another specific example, the system memory can be DDRx SDRAM. In yet another specific aspect, the system memory can be LPDDRx SDRAM."
113,volatile memory,high density,rhyper,-1,"NVM is a storage medium that does not require power to maintain the state of data stored by the medium. NVM has traditionally been used for the task of data storage, or long-term persistent storage, but new and evolving memory technologies allow the use of NVM in roles that extend beyond traditional data storage. One example of such a role is the use of NVM as main or system memory. Non-volatile system memory (NVMsys) can combine data reliability of traditional storage with ultra-low latency and high bandwidth performance, having many advantages over traditional volatile memory, such as high density, large capacity, lower power consumption, and reduced manufacturing complexity, to name a few. Byte-addressable, write-in-place NVM such as three-dimensional (3D) cross-point memory, for example, can operate as byte-addressable memory similar to dynamic random-access memory (DRAM), or as block-addressable memory similar to NAND flash. In other words, such NVM can operate as system memory or as persistent storage memory (NVMstor). In some situations where NVM is functioning as system memory, stored data can be discarded or otherwise rendered unreadable when power to the NVMsys is interrupted. NVMsys also allows increased flexibility in data management by providing non-volatile, low-latency memory that can be located closer to a processor in a computing device. In some examples, NVMsys can reside on a DRAM bus, such that the NVMsys can provide ultra-fast DRAM-like access to data. NVMsys can also be useful in computing environments that frequently access large, complex data sets, and environments that are sensitive to downtime caused by power failures or system crashes."
114,programmable memory,household appliances,rhyper,-1,"Various techniques, or certain aspects or portions thereof, can take the form of program code (i.e., instructions) embodied in tangible media, such as, CD-ROMs, hard drives, non-transitory computer readable storage medium, or any other machine-readable storage medium wherein, when the program code is loaded into and executed by a machine, such as a computer, the machine becomes an apparatus for practicing the various techniques. Circuitry can include hardware, firmware, program code, executable code, computer instructions, and/or software. A non-transitory computer readable storage medium can be a computer readable storage medium that does not include signal. In the case of program code execution on programmable computers, the computing device can include a processor, a storage medium readable by the processor (including volatile and non-volatile memory and/or storage elements), at least one input device, and at least one output device. The volatile and non-volatile memory and/or storage elements can be a RAM, EPROM, flash drive, optical drive, magnetic hard drive, solid state drive, or other medium for storing electronic data. The node and wireless device can also include a transceiver module, a counter module, a processing module, and/or a clock module or timer module. One or more programs that can implement or utilize the various techniques described herein can use an application programming interface (API), reusable controls, and the like. Such programs can be implemented in a high level procedural or object oriented programming language to communicate with a computer system. However, the program(s) can be implemented in assembly or machine language, if desired. In any case, the language can be a compiled or interpreted language, and combined with hardware implementations. Exemplary systems or devices can include without limitation, laptop computers, tablet computers, desktop computers, smart phones, computer terminals and servers, storage databases, and other electronics which utilize circuitry and programmable memory, such as household appliances, smart televisions, digital video disc (DVD) players, heating, ventilating, and air conditioning (HVAC) controllers, light switches, and the like."
115,storage medium,optical disk,rhyper,-1,"The external media 224 is a storage medium that stores image data and audio data, and it is removably connected to the image capture device 20. The I/O control portion 226 controls reading of the image data and the audio data that are stored in the external media 224, as well as writing of the image data and the audio data to the external media 224. Note that the external media 224 may be a storage medium such as a non-volatile memory, a magnetic disk, an optical disk, a magneto-optical (MO) disk, or the like. The non-volatile memory may be, for example, a flash memory, an SD card, a micro-SD card, a USB memory, an electrically erasable programmable read-only memory (EEPROM), or an erasable programmable ROM (EPROM). Further, the magnetic disk may be a hard disk, a disk-shaped magnetic disk, or the like. Furthermore, the optical disk may be a compact disc (CD), a digital versatile disc (DVD), a Blu-Ray disc (BD) (registered trademark), or the like."
116,storage medium,non-volatile memory,rhyper,-1,"The external media 224 is a storage medium that stores image data and audio data, and it is removably connected to the image capture device 20. The I/O control portion 226 controls reading of the image data and the audio data that are stored in the external media 224, as well as writing of the image data and the audio data to the external media 224. Note that the external media 224 may be a storage medium such as a non-volatile memory, a magnetic disk, an optical disk, a magneto-optical (MO) disk, or the like. The non-volatile memory may be, for example, a flash memory, an SD card, a micro-SD card, a USB memory, an electrically erasable programmable read-only memory (EEPROM), or an erasable programmable ROM (EPROM). Further, the magnetic disk may be a hard disk, a disk-shaped magnetic disk, or the like. Furthermore, the optical disk may be a compact disc (CD), a digital versatile disc (DVD), a Blu-Ray disc (BD) (registered trademark), or the like."
117,storage medium,magnetic disk,rhyper,-1,"The external media 224 is a storage medium that stores image data and audio data, and it is removably connected to the image capture device 20. The I/O control portion 226 controls reading of the image data and the audio data that are stored in the external media 224, as well as writing of the image data and the audio data to the external media 224. Note that the external media 224 may be a storage medium such as a non-volatile memory, a magnetic disk, an optical disk, a magneto-optical (MO) disk, or the like. The non-volatile memory may be, for example, a flash memory, an SD card, a micro-SD card, a USB memory, an electrically erasable programmable read-only memory (EEPROM), or an erasable programmable ROM (EPROM). Further, the magnetic disk may be a hard disk, a disk-shaped magnetic disk, or the like. Furthermore, the optical disk may be a compact disc (CD), a digital versatile disc (DVD), a Blu-Ray disc (BD) (registered trademark), or the like."
118,storage medium,optical disk,rhyper,-1,"The internal memory 246 is a storage medium that stores image data and audio data. In the same manner as the external media 224, the internal memory 246 may be a storage medium such as a non-volatile memory, a magnetic disk, an optical disk, an MO disk, or the like."
119,storage medium,magnetic disk,rhyper,-1,"The internal memory 246 is a storage medium that stores image data and audio data. In the same manner as the external media 224, the internal memory 246 may be a storage medium such as a non-volatile memory, a magnetic disk, an optical disk, an MO disk, or the like."
120,storage medium,non-volatile memory,rhyper,-1,"The internal memory 246 is a storage medium that stores image data and audio data. In the same manner as the external media 224, the internal memory 246 may be a storage medium such as a non-volatile memory, a magnetic disk, an optical disk, an MO disk, or the like."
121,information processing system,mobile phone,hyper,1,"(1) An information processing system including circuitry configured to acquire a first captured image; acquire a plurality of second images; and generate display data including the first captured image and at least a subset of the plurality of second images based on an evaluation parameter corresponding to each of the plurality of second images.(2) The information processing system of (1), wherein the evaluation parameter indicates a degree of attention of a user to who is not using the information processing system.(3) The information processing system of (2), wherein the evaluation parameter is based on an operation of the user.(4) The information processing system of any of (1) to (3), further including a communication interface configured to acquire the plurality of second images from a service provider via a network.(5) The information processing system of any of (1) to (4), further including an interface configured to acquire the plurality of second images from a plurality of service providers via a network.(6) The information processing system of (5), further including a user interface configured to receive a user input selecting at least one of the plurality of service providers from which the plurality of second images is acquired, wherein the circuitry is configured to control acquiring the plurality of second images from the at least one of the plurality of service providers based on the received user input.(7) The information processing system of any of (1) to (6), further including a user interface configured to receive a user input selecting at least one of a plurality of classification groups corresponding to the plurality of second images, wherein the circuitry is configured to control acquiring the plurality of second images corresponding to the at least one of the plurality of classification groups based on the received user input.(8) The information processing system of any of (1) to (7), further including a user interface configured to receive a user input selecting at least one of a plurality of characteristics corresponding to a popularity of the plurality of second images, wherein the circuitry is configured to control acquiring the plurality of second images corresponding to the at least one of the plurality of characteristics based on the received user input.(9) The information processing system of any of (1) to (8), further including a display configured to display the display data generated by the circuitry; and an image capturing device configured to capture the first captured image.(10) The information processing system of any of (1) to (9), further including a memory configured to store the plurality of second images and the evaluation parameter corresponding to each of the plurality of second images.(11) The information processing system of any of (2) to (10), wherein the evaluation parameter for each of the plurality of second images is based on the at least one of a group classification of the image, a number of times the image has been accessed, a number of times the image has been cited, and a number of times the image has been commented on.(12) The information processing system of (11), wherein the circuitry is configured to acquire, for each of the plurality of second images, at least one of the group classification of the image, the number of times the image has been accessed, the number of times the image has been cited, and the number of times the image has been commented on; and determine the evaluation parameter for each of the plurality of second images based on the at least one of the group classification of the image, the number of times the image has been accessed, the number of times the image has been cited, and the number of times the image has been commented on.(13) The information processing system of (12), wherein the circuitry is configured to select the at least a subset of the plurality of second images to be included in the generated display data based on the determined evaluation parameter for each of the plurality of second images.(14) The information processing system of (11), wherein the circuitry is configured to include, in the generated display data, at least one of the group classification of the image, the number of times the image has been accessed, the number of times the image has been cited, and the number of times the image has been commented on for each of the at least a subset of the plurality of second images to be included in the generated display data.(15) The information processing system of any of (1) to (14), wherein the circuitry is configured to perform an image analysis on each of the plurality of second images to identify an image capture setting corresponding to each of the plurality of second images.(16) The information processing system of (15), wherein the circuitry is configured to select the at least a subset of the plurality of second images to be included in the generated display data by comparing the identified image capture settings corresponding to each of the plurality of second images with image capturing setting corresponding to the first captured image.(17) The information processing system of any of (15) to (16), further including a user interface configured to display the at least the subset of the plurality of second images and receive a user selection corresponding to one of the at least the subset of the plurality of second images.(18) The information processing system of (17), wherein the circuitry is configured to change image capture settings corresponding to the first captured image data based on the identified image capture settings of the one of the at least the subset of the plurality of second images selected based on the user input.(19) The information processing system of (9), further including a wireless interface configured to send and receive data via a wireless communication network.(20) An information processing method performed by an information processing system, the method comprising: acquiring a first captured image; acquiring a plurality of second images; and generating display data including the first captured image and at least a subset of the plurality of second images based on an evaluation parameter corresponding to each of the plurality of second images.(21) A non-transitory computer-readable medium including computer-program instructions, which when executed by an information processing system, cause the system to: acquire a first captured image; acquire a plurality of second images; and generate display data including the first captured image and at least a subset of the plurality of second images based on an evaluation parameter corresponding to each of the plurality of second images.(22)The information processing system of (1), wherein the plurality of second images are each thumbnail images.(23) The information processing system of (2), wherein the information processing system is a mobile phone including a camera unit configured to capture the first captured image.(24) The information processing system of (19), wherein the mobile phone includes a wireless interface configured to send and receive voice communication via a wireless communication network.(25) A display control device including:an acquisition portion that acquires, from at least one service provider server on a network that controls image data, data that pertain to at least one set of image data; anda display control portion that generates a display screen that includes an object image and a display that is based on data pertaining to image data according to a degree of attention for the at least one set of image data among the data that have been acquired by the acquisition portion.(26) The display control device according to (25),wherein the data pertaining to the image data include one of the image data and thumbnail data of the image data.(27) The display control device according to (25) or (26), further including:an image selection portion that makes a preferential selection of data pertaining to image data with a high degree of attention from the data that have been acquired by the acquisition portion,wherein the display control portion generates a display screen that includes a display that is based on the data that the image selection portion has made the selection of.(28) The display control device according to (27),wherein the image selection portion makes the selection from the data acquired from the service provider server designated by a user.(29) The display control device according to (28),wherein the image selection portion makes the selection in accordance with a degree of attention within a group designated by the user among a plurality of groups that are controlled by the service provider server designated by the user.(30) The display control device according to any one of (27) to (29),wherein the image selection portion identifies the degree of attention in accordance with a condition designated by a user.(31) The display control device according to any one of (25) to (30), further including:a processing portion that performs processing on the object image, the processing being associated with a display selected from the display that is based on the data pertaining to the at least one set of image data.(32) The display control device according to any one of (25) to (31), further including:an image capture portion,wherein the object image is an image captured by the image capture portion.(33) The display control device according to any one of (25) to (31), further including:a storage portion,wherein the object image is an image acquired by playing back image data stored in the storage portion.(34) The display control device according to (33),wherein the display control portion, in a case where, among the data that have been acquired by the acquisition portion, data exist that pertain to image data whose degree of similarity with the object image is greater than a similarity threshold value and whose degree of attention is greater than an attention threshold value, generates a display screen that includes a display that facilitates the object image to be uploaded to the at least one service provider server.(35) A display control method including:acquiring, from at least one service provider server on a network that controls image data, data that pertain to at least one set of image data; andgenerating a display screen that includes an object image and a display that is based on data pertaining to image data, among the at least one set of image data according to a degree of attention for the at least one set of image data among the data that pertain to the at least one set of image data.(36) A program for causing a computer to function as:an acquisition portion that acquires, from at least one service provider server on a network that controls image data, data that pertain to at least one set of image data; anda display control portion that generates a display screen that includes an object image and a display that is based on data pertaining to image data according to a degree of attention for the at least one set of image data among the data that have been acquired by the acquisition portion."
122,mobile device,tablet PC,rhyper,-1,"Referring to FIG. 1, a terminal 100 is connected to a server 200 for providing a video call service via a communication network. The server 200 may store data and various programs or applications for assisting a plurality of users to use a video call service by using the terminal 100 of each user. The server 200 for providing a video call service may perform both local communication and remote communication. The_server 200 for providing a video call service may be connected to a plurality of terminals 100 via a communication network. The terminal 100 may include various types of user terminals connected to the server 200 for providing a video call service. For example, the terminal 100 is a device for communicating with the server 200 for providing a video call service, and may include a wearable device such as a smart watch, a mobile device such as a smart phone, a tablet PC, and a laptop computer, and a stationary device such as a desktop computer. Furthermore, the terminal 100 may be a video call device for supporting a video call and may be capable of capturing and replaying a video so that a video call may be performed between users connected through a video call service."
123,mobile device,laptop computer,rhyper,-1,"Referring to FIG. 1, a terminal 100 is connected to a server 200 for providing a video call service via a communication network. The server 200 may store data and various programs or applications for assisting a plurality of users to use a video call service by using the terminal 100 of each user. The server 200 for providing a video call service may perform both local communication and remote communication. The_server 200 for providing a video call service may be connected to a plurality of terminals 100 via a communication network. The terminal 100 may include various types of user terminals connected to the server 200 for providing a video call service. For example, the terminal 100 is a device for communicating with the server 200 for providing a video call service, and may include a wearable device such as a smart watch, a mobile device such as a smart phone, a tablet PC, and a laptop computer, and a stationary device such as a desktop computer. Furthermore, the terminal 100 may be a video call device for supporting a video call and may be capable of capturing and replaying a video so that a video call may be performed between users connected through a video call service."
124,mobile device,smart phone,rhyper,-1,"Referring to FIG. 1, a terminal 100 is connected to a server 200 for providing a video call service via a communication network. The server 200 may store data and various programs or applications for assisting a plurality of users to use a video call service by using the terminal 100 of each user. The server 200 for providing a video call service may perform both local communication and remote communication. The_server 200 for providing a video call service may be connected to a plurality of terminals 100 via a communication network. The terminal 100 may include various types of user terminals connected to the server 200 for providing a video call service. For example, the terminal 100 is a device for communicating with the server 200 for providing a video call service, and may include a wearable device such as a smart watch, a mobile device such as a smart phone, a tablet PC, and a laptop computer, and a stationary device such as a desktop computer. Furthermore, the terminal 100 may be a video call device for supporting a video call and may be capable of capturing and replaying a video so that a video call may be performed between users connected through a video call service."
125,the triangle,number of,rhyper,-1,"For example, in a fingerprint authentication process, a triangle whose vertices are a target feature point, which is extracted from a fingerprint image that is to be authenticated, and two feature points around the target feature point is generated. The shape of the triangle and information related to the triangle, such as the number of fingerprint ridges crossing each side, are used to compare the triangle generated from the fingerprint image with a triangle included in enrolled fingerprint information."
126,semiconductor memory,flash memory,rhyper,-1,"The memory 1102 indicates, for example, a read only memory (ROM), a random access memory (RAM), and a semiconductor memory such as a flash memory, and stores programs and data used in the process. The memory 1102 may be used as the storage unit 111 in FIGs. 1 and 3."
127,communication network,local area network,rhyper,-1,"The network connection device 1107, which is connected to a communication network, such as a local area network or a wide area network, is a communication interface circuit which performs data conversion in communication. The information processing apparatus may receive programs and data from an external apparatus via the network connection device 1107, and may load, for use, the programs and the data onto the memory 1102. The network connection device 1107 may be used as the output unit 303 in FIG. 3."
128,communication network,wide area network,rhyper,-1,"The network connection device 1107, which is connected to a communication network, such as a local area network or a wide area network, is a communication interface circuit which performs data conversion in communication. The information processing apparatus may receive programs and data from an external apparatus via the network connection device 1107, and may load, for use, the programs and the data onto the memory 1102. The network connection device 1107 may be used as the output unit 303 in FIG. 3."
129,storage media,solid-state drive,rhyper,-1,"Fig. 2B is a schematic diagram illustrating respective hardware configurations of the client apparatus 110 and the network camera 100. A central processing unit (CPU) 201 is a central processing unit for controlling the client apparatus 110. A hard disk drive (HDD) 202 is a large-capacity storage device (a secondary storage device) for storing a program and a parameter for the CPU 201 to control the client apparatus 110. The program and the parameter do not necessarily need to be stored in an HDD. Alternatively, various storage media such as a solid-state drive (SSD) and a flash memory may be used. A random-access memory (RAM) 203 is a memory into which the CPU 201 loads a program read from the HDD 202 and in which the CPU 201 executes processing described below. Further, the RAM 203 as a primary storage device is occasionally used as a storage area for temporarily storing data and a parameter on which various processes are to be performed."
130,non-volatile memory,hard disk,rhyper,-1,"The image processing apparatus 100 includes a CPU 101, a main memory 102, a storage unit 103, an input unit 104, a display unit 105, and an external I/F 106. Each of the above units is connected with each other via a bus 107 for data transfer. The CPU 101 is an arithmetic processing unit (processor) for performing overall control of the image processing apparatus 100, and is capable of performing various processes by executing various programs stored in the storage unit 103 and the like. The main memory 102 is capable of temporarily storing data, parameters or the like used for various processes, and is a storing medium capable of providing a work area for the CPU 101. The main memory 102 may be a volatile memory such as a RAM, for instance. The storage unit 103 is a storage medium capable of storing various data necessary for various programs or for displaying a Graphical User Interface (GUI). The storage unit 103 may be, for instance, a mass storage device, or a non-volatile memory such as a hard disk or a silicon disk."
131,output device,liquid crystal,rhyper,-1,"The input unit 104 is a device for accepting an operation input from a user. The input unit 104 may be an input device such as a keyboard, a mouse, an electronic pen, or a touch panel. The display unit 105 is a device for displaying a processing result, an image, a GUI, or the like, and may be an output device such as a liquid crystal panel, for instance. Further, the display unit 105 is capable of displaying a processing result, such as a determination result of an object region or a separation result of an object and a background. The external I/F 106 is an interface for the image processing apparatus 100 to transmit/receive data with an external apparatus. In the present embodiment, the external I/F 106 is connected via a LAN 108 with each image capturing apparatus constiting the group of image capturing apparatuses 109. The image processing apparatus 100 can transmit/receive data such as image data or control signal data with each image capturing apparatus via the external I/F 106. The group of image capturing apparatuses 109 includes one or more image capturing apparatuses. Each of the image capturing apparatuses, according to the control signal data received from the image processing apparatus 100, is able to start or stop capturing an image, to change capturing parameters (shutter speed, an aperture, or the like), to transfer image data obtained by capturing an image, and the like. Note that, the image processing system may include various components other than the above described components, but descriptions thereof will be omitted."
132,storage media,main memory,rhyper,-1,"In a further embodiment, it is possible to store a background image generated by the background generation unit 405 according to brightness of a frame image, in a storage media such as the main memory 102. Additionally, the background generation unit 405, in a case where the background image obtained from the selected images selected according to the brightness of the target image 320 is stored in the main memory 102, may select this image to use as the background image 340. As an example, the background generation unit 405 may obtain a background image obtained from selected images for which similarity of a feature amount reflecting brightness with the target image 320 is equal to or larger than a threshold value, from the main memory 102. Additionally, the background generation unit 405 may obtain from the main memory 102 a background image generated for a frame image with similarity of a feature amount reflecting brightness with the target image 320 equal to or larger than a threshold value."
133,display device,liquid crystal display,rhyper,-1,"The I/F unit 150 enables connection between the display system 100 and an external apparatus. In this embodiment, a navigation apparatus 152 (or an electronic apparatus having a navigation function) is connected through the I/F unit 150. The navigation apparatus 152 has a function of calculating a position of the own vehicle using a global positioning system (GPS) signal or a self-contained navigation sensor (such as an acceleration sensor or an angular rate sensor), a function of displaying data on a road map in a position near the own vehicle, a function of retrieving a route from a present location to a destination and guiding the vehicle along retrieved route. The display function of the navigation apparatus 152 may include a display device, such as a liquid crystal display device, separately from the HUD 130. When the navigation apparatus 152 is connected, the controller 160 may operate in combination with the navigation apparatus 152 and display a virtual marker which guides a traveling direction, such as a right/left turn at an intersection or a lane change, based on guide information supplied from the navigation apparatus 152 when the navigation apparatus 152 guides the route to the destination."
134,computer network,the Internet,rhyper,-1,"A plurality of components in the device 900 are coupled to the I/O interface 905, including: an input unit 906, such as a keyboard or a mouse; an output unit 907, such as various types of displays, or speakers; the storage unit 908, such as a disk or an optical disk; and a communication unit 909 such as a network card, a modem, or a wireless communication transceiver. The communication unit 909 allows the device 900 to exchange information/data with other devices over a computer network such as the Internet and/or various telecommunication networks."
